,Players,Team,Location,Opponent,Opponent Conference,Power,Top 25,,STR,Min,FGM,FGA,3M,3A,FTM,FTA,OReb,DReb,AST,STL,TO,PF,PTS,OPP ACTIVE VALUE,OPP HISTORICAL VALUE,TEAM ACTIVE VALUE,TEAM HISTORICAL VALUE,Doubles,Double Doube,Triple Double,0-3+ FG,Perfect 2 FG min 3,Perfect 3 FG min 3,Points Leader,Def Reb Leader,Off Reb Leader,Steal Leader,Assist Leader,Foul Trouble,20+ minutes,20+ points,SM,Line,Clutch ,Overtime,Attendance,Player Points,Top 7,STR,Min,FGM,FGA,3M,3A,FTM,FTA,OReb,DReb,AST,STL,TO,PF,PTS,Player Name
Team:,,,,,,,,,Sum:,Sum:,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sum:,,,,,,,,,,,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Count (Unique):
,Luke Kearney,Air Force,HOME,North Alabama,ASUN,0,,Starter,1,32,1,7,1,7,2,2,0,2,1,1,2,1,5,,14.617,,10.946,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-16,-5.5,0,0,1212,0,TRUE,1,32,1,7,1,7,2,2,0,2,1,1,2,1,5,Luke Kearney
,Luke Kearney,Air Force,HOME,LIU,NEC,0,0,Starter,1,25,0,4,0,3,2,2,0,1,1,0,1,0,2,0,7.111,0,10.946,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-9,-11.5,1,0,409,0,TRUE,1,25,0,4,0,3,2,2,0,1,1,0,1,0,2,Luke Kearney
,Luke Kearney,Air Force,HOME,Belmont,Missouri Valley,0,0,Bench,0,12,1,2,0,1,0,0,0,0,0,0,2,2,2,0,30.544,0,10.946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,2.5,0,0,2001,0,FALSE, , , , , , , , , , , , , , , , 
,Sam Duskin,Air Force,HOME,Jacksonville St.,CUSA,0,,Starter,1,22,0,2,0,2,0,1,2,2,0,0,0,3,0,,15.992,,10.946,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,-1.5,1,0,453,0,TRUE,1,22,0,2,0,2,0,1,2,2,0,0,0,3,0,Sam Duskin
,Sam Duskin,Air Force,HOME,LIU,NEC,0,0,Starter,1,16,2,3,2,3,0,0,1,2,0,1,0,0,6,0,7.111,0,10.946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,-11.5,1,0,409,0,TRUE,1,16,2,3,2,3,0,0,1,2,0,1,0,0,6,Sam Duskin
,Sam Duskin,Air Force,HOME,Belmont,Missouri Valley,0,0,Starter,1,29,5,12,3,9,0,0,0,3,2,2,1,2,13,0,30.544,0,10.946,1,0,0,0,0,0,0,0,0,1,0,0,1,0,-8,2.5,0,0,2001,0,TRUE,1,29,5,12,3,9,0,0,0,3,2,2,1,2,13,Sam Duskin
,Sam Duskin,Air Force,HOME,North Alabama,ASUN,0,,Bench,0,9,0,1,0,1,0,0,0,0,2,0,1,0,0,,14.617,,10.946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,-5.5,0,0,1212,0,FALSE, , , , , , , , , , , , , , , , 
,Sam Springer,Air Force,HOME,North Alabama,ASUN,0,,Bench,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,14.617,,10.946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,-5.5,0,0,1212,0,FALSE, , , , , , , , , , , , , , , , 
,Wesley Celichowski,Air Force,HOME,Jacksonville St.,CUSA,0,,Starter,1,17,1,6,0,2,0,1,1,1,3,0,1,3,2,,15.992,,10.946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1.5,1,0,453,0,TRUE,1,17,1,6,0,2,0,1,1,1,3,0,1,3,2,Wesley Celichowski
,Wesley Celichowski,Air Force,HOME,North Alabama,ASUN,0,,Starter,1,19,2,7,0,3,1,2,1,2,1,0,2,2,5,,14.617,,10.946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,-5.5,0,0,1212,0,TRUE,1,19,2,7,0,3,1,2,1,2,1,0,2,2,5,Wesley Celichowski
